-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/04/1995 through 05/30/2020 
Location: Latitude  27.6895   Longitude 85.3614 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,TS,T2M
27.68951,85.36141,1995,10,03,    0.00,    7.55,   19.86,   18.95
27.68951,85.36141,1995,10,04,    0.00,    8.74,   19.51,   18.67
27.68951,85.36141,1995,10,05,    0.01,    8.93,   19.16,   18.58
27.68951,85.36141,1995,10,06,    0.00,    7.94,   18.98,   18.38
27.68951,85.36141,1995,10,07,    1.01,    9.09,   19.27,   18.63
27.68951,85.36141,1995,10,08,    3.55,    8.51,   18.96,   18.65
27.68951,85.36141,1995,10,09,    0.38,    8.84,   19.58,   18.79
27.68951,85.36141,1995,10,10,    1.54,    9.80,   19.22,   18.51
27.68951,85.36141,1995,10,11,    5.69,    9.12,   18.81,   18.28
27.68951,85.36141,1995,10,12,    0.05,    8.69,   19.22,   18.57
27.68951,85.36141,1995,10,13,    0.00,    9.47,   19.22,   18.80
27.68951,85.36141,1995,10,14,    0.00,   10.16,   19.03,   18.79
27.68951,85.36141,1995,10,15,    0.02,    9.83,   19.17,   18.91
27.68951,85.36141,1995,10,16,    0.04,    9.17,   18.52,   18.73
27.68951,85.36141,1995,10,17,    0.04,    8.64,   18.75,   18.49
27.68951,85.36141,1995,10,18,    0.55,   10.71,   17.80,   17.75
27.68951,85.36141,1995,10,19,    0.04,   10.39,   17.16,   18.00
27.68951,85.36141,1995,10,20,    0.03,   11.51,   16.02,   16.80
27.68951,85.36141,1995,10,21,    0.08,   12.29,   15.69,   16.76
27.68951,85.36141,1995,10,22,    0.08,   10.93,   15.37,   16.50
27.68951,85.36141,1995,10,23,    0.01,   11.15,   14.55,   16.40
27.68951,85.36141,1995,10,24,    0.00,   10.42,   13.70,   15.96
27.68951,85.36141,1995,10,25,    0.00,   11.75,   13.83,   16.06
27.68951,85.36141,1995,10,26,    0.00,   11.22,   13.94,   16.12
27.68951,85.36141,1995,10,27,    0.00,   10.56,   14.06,   16.25
27.68951,85.36141,1995,10,28,    0.00,   11.67,   14.25,   16.86
27.68951,85.36141,1995,10,29,    0.00,   11.91,   14.64,   17.14
27.68951,85.36141,1995,10,30,    0.00,   11.40,   14.73,   16.86
27.68951,85.36141,1995,10,31,    0.00,   11.31,   14.86,   16.29
27.68951,85.36141,1995,11,01,    0.00,   10.80,   14.02,   15.65
27.68951,85.36141,1995,11,02,    0.00,   12.12,   12.70,   14.57
27.68951,85.36141,1995,11,03,    0.00,   12.11,   11.87,   14.26
27.68951,85.36141,1995,11,04,    0.00,   11.50,   12.10,   14.28
27.68951,85.36141,1995,11,05,    0.00,   11.89,   12.73,   14.79
27.68951,85.36141,1995,11,06,    0.00,   11.42,   13.34,   15.59
27.68951,85.36141,1995,11,07,    0.00,   13.14,   13.87,   16.39
27.68951,85.36141,1995,11,08,    0.00,   12.64,   13.94,   16.70
27.68951,85.36141,1995,11,09,    0.92,    7.94,   13.30,   15.29
27.68951,85.36141,1995,11,10,    5.78,    7.30,   15.43,   15.47
27.68951,85.36141,1995,11,11,   17.62,    6.73,   14.34,   14.40
27.68951,85.36141,1995,11,12,    0.10,   11.61,   13.06,   13.90
27.68951,85.36141,1995,11,13,    0.28,   14.28,   12.10,   13.93
27.68951,85.36141,1995,11,14,    0.00,   12.11,   12.64,   15.55
27.68951,85.36141,1995,11,15,    0.00,   11.65,   12.03,   14.67
27.68951,85.36141,1995,11,16,    0.00,   10.46,   11.92,   14.41
27.68951,85.36141,1995,11,17,    0.00,   11.29,   11.96,   14.26
27.68951,85.36141,1995,11,18,    0.00,   12.79,   11.12,   13.69
